x,y,z
78.751047,-11.691211,-0.064
83.2502,-11.690832,0.039
87.750526,-11.691243,-0.461
76.500497,-15.58817,-0.004
81.000632,-15.587599,-0.067
85.500957,-15.58801,-0.273
90.000302,-15.588612,-0.38
74.250929,-19.484937,-0.017
78.750273,-19.485539,-0.042
83.250408,-19.484968,-0.122
87.750733,-19.485379,-0.122
92.250868,-19.484808,-0.114
76.500705,-23.382306,0.266
81.001031,-23.382717,0.135
85.500184,-23.382338,0.189
90.000509,-23.382749,-0.109
78.750481,-27.279676,0.412
83.250615,-27.279105,0.246
87.750941,-27.279516,-0.266
76.500122,-31.177616,0.582
81.000257,-31.177045,0.239
85.500583,-31.177456,0.148
74.250554,-35.074383,0.533
78.749707,-35.074004,0.323
83.250033,-35.074414,0.252
87.750167,-35.073844,-0.389
72.000004,-38.971341,0.579
76.50033,-38.971752,0.402
81.000464,-38.971181,0.251
85.50079,-38.971592,0.082
89.999943,-38.971213,-0.536
74.250762,-42.868519,0.631
78.749914,-42.86814,0.224
83.25024,-42.868551,0.311
87.750375,-42.86798,-0.307
76.500538,-46.765889,0.615
81.000672,-46.765318,0.242
85.500016,-46.76592,-0.1
74.249988,-50.662847,0.725
78.750122,-50.662277,0.435
83.250448,-50.662687,0.185
72.000419,-54.559614,1.041
76.500745,-54.560025,0.749
80.999898,-54.559646,0.482
85.500224,-54.560057,0.82
69.749869,-58.456573,1.003
74.250195,-58.456984,1.012
78.75033,-58.456413,0.978
83.250655,-58.456824,0.651
87.75,-58.457426,0.143
72.000627,-62.353751,1.508
76.499971,-62.354353,1.178
81.000106,-62.353782,1.119
85.500431,-62.354193,0.184
74.250403,-66.25112,1.122
78.750537,-66.25055,1.059
83.249882,-66.251152,0.346
65.250412,19.485777,1.459
69.750546,19.486348,1.431
74.250872,19.485937,1.211
63.000844,15.58901,1.353
67.501169,15.588599,1.277
72.000322,15.588979,1.236
76.500648,15.588568,1.057
60.750294,11.692052,1.38
65.25062,11.691641,1.388
69.750754,11.692212,1.222
74.25108,11.691801,0.837
78.750424,11.691199,0.68
63.001051,7.794874,1.247
67.500396,7.794271,0.997
72.00053,7.794842,0.717
76.500856,7.794431,0.686
65.250827,3.897504,0.968
69.751153,3.897093,0.826
74.250306,3.897473,0.658
63.000469,-0.000436,0.895
67.500603,0.000135,0.82
71.999948,-0.000467,0.478
60.749919,-3.897394,0.817
65.250053,-3.896824,0.562
69.750379,-3.897235,0.461
74.250705,-3.897645,0.343
58.500351,-7.794162,1.303
63.000676,-7.794572,0.534
67.499829,-7.794193,0.33
72.000155,-7.794604,0.269
76.50029,-7.794033,0.292
60.750127,-11.691531,0.803
65.250452,-11.691942,0.618
69.750587,-11.691371,0.09
74.249931,-11.691973,0.141
62.999903,-15.5889,0.746
67.500037,-15.58833,0.148
72.000363,-15.58874,0.192
60.750334,-19.485667,0.633
65.25066,-19.486078,0.406
69.749813,-19.485699,0.106
58.499784,-23.382626,0.529
63.00011,-23.383037,0.288
67.500245,-23.382466,0.307
72.00057,-23.382877,0.26
56.250407,-27.280375,0.484
60.750542,-27.279804,0.669
65.249886,-27.280406,0.5
69.75002,-27.279835,0.33
74.250346,-27.280246,0.318
58.499992,-31.176763,0.734
63.000318,-31.177173,0.552
67.500452,-31.176603,0.575
71.999796,-31.177205,0.514
60.749768,-35.074132,0.685
65.250094,-35.074543,0.629
69.750228,-35.073972,0.598
58.500199,-38.970899,0.697
63.000525,-38.97131,0.741
67.499678,-38.970931,0.766
56.249841,-42.868839,0.957
60.749975,-42.868268,1.298
65.250301,-42.868679,1.12
69.750436,-42.868109,0.19
54.000273,-46.765606,1.315
58.500407,-46.765036,1.166
62.999751,-46.765638,0.899
67.499886,-46.765067,0.597
72.000212,-46.765478,0.567
56.250049,-50.662976,0.962
60.750183,-50.662405,0.846
65.250509,-50.662816,0.577
69.750643,-50.662245,0.762
58.500615,-54.559172,0.734
62.999959,-54.559774,0.757
67.500285,-54.560185,1.033
56.250256,-58.457112,0.937
60.750391,-58.456541,1.282
65.250716,-58.456952,1.341
54.000688,-62.353879,1.344
58.499841,-62.3535,1.4
63.000167,-62.353911,1.498
67.500492,-62.354322,0.943
51.750138,-66.250838,1.44
56.250464,-66.251249,1.51
60.750598,-66.250678,1.591
65.249943,-66.25128,1.293
69.750077,-66.250709,1.629
53.999914,-70.148207,1.745
58.50024,-70.148618,1.914
63.000374,-70.148047,1.854
67.5007,-70.148458,1.454
56.250671,-74.045385,1.827
60.749824,-74.045006,1.859
65.25015,-74.045417,1.123
54.000122,-77.942344,1.931
58.500447,-77.942755,1.762
63.000582,-77.942184,1.624
51.750553,-81.839111,1.875
56.249897,-81.839713,1.63
60.750032,-81.839142,1.482
65.250358,-81.839553,0.819
49.500195,-85.737051,1.707
54.000329,-85.73648,1.957
58.500655,-85.736891,1.453
62.999808,-85.736512,0.874
67.500134,-85.736923,0.479
51.749779,-89.633439,1.622
56.250105,-89.63385,1.363
60.75024,-89.633279,0.664
65.250565,-89.63369,0.1
54.000537,-93.530617,1.225
58.499881,-93.531219,0.536
63.000015,-93.530648,-0.185
49.500624,31.177726,0.775
54.00095,31.177315,0.808
58.501084,31.177885,1.034
47.251247,27.279977,0.834
51.7504,27.280356,0.798
56.250726,27.279945,1.32
60.75086,27.280516,0.969
45.000697,23.383018,1.339
49.500831,23.383589,0.84
54.001157,23.383178,1.219
58.500502,23.382576,1.035
63.000636,23.383147,1.476
47.250473,19.485649,1.032
51.750607,19.48622,1.284
56.250933,19.485809,1.538
60.751068,19.48638,1.303
49.501039,15.589453,1.283
54.000383,15.58885,1.574
58.500709,15.58844,1.217
47.250681,11.691512,1.753
51.750025,11.69091,1.481
56.250159,11.691481,1.284
45.000131,7.794554,1.851
49.500457,7.794143,1.66
54.000782,7.793732,2.041
58.499935,7.794111,1.351
42.750754,3.896805,1.923
47.249907,3.897184,1.911
51.750233,3.896774,1.979
56.250367,3.897344,1.658
60.750693,3.896934,1.153
45.00053,-0.000564,2.154
49.500664,0.000006,2.178
54.000009,-0.000596,1.639
58.500143,-0.000025,1.481
47.250114,-3.896952,2.076
51.75044,-3.897363,1.641
56.250575,-3.896792,1.063
33.751027,42.868692,0.715
38.251162,42.869263,0.742
42.750506,42.868661,0.711
31.500477,38.971734,0.834
36.000803,38.971323,0.721
40.500937,38.971894,0.675
45.001263,38.971483,0.785
29.250909,35.074967,0.741
33.751235,35.074556,0.638
38.250579,35.073954,0.682
42.750713,35.074524,0.834
47.251039,35.074113,0.519
31.500685,31.177597,0.8
36.001011,31.177186,0.819
40.501145,31.177757,1.023
45.000489,31.177155,0.614
33.750461,27.280228,0.846
38.250787,27.279817,0.62
42.750921,27.280388,0.85
15.751296,35.074427,0.555
20.250448,35.074807,0.884
24.750774,35.074396,0.582
13.500746,31.177469,0.819
18.001072,31.177058,0.884
22.501206,31.177629,1.121
27.00055,31.177026,0.813
11.251177,27.280702,0.964
15.750522,27.280099,0.745
20.250656,27.28067,1.086
24.750982,27.280259,0.894
29.251116,27.28083,0.758
13.500953,23.383332,1.008
18.001279,23.382921,1.01
22.500432,23.383301,0.769
27.000758,23.38289,0.906
15.750729,19.485963,0.62
20.250864,19.486534,0.658
24.75119,19.486123,0.821
0.000526,46.766184,-0.476
4.500852,46.765773,-0.436
9.000986,46.766344,-0.238
-2.248851,42.868435,-0.481
2.251283,42.869006,-0.352
6.750628,42.868404,-0.175
11.250762,42.868975,-0.147
-4.499401,38.971477,-0.42
0.000733,38.972048,-0.259
4.501059,38.971637,-0.075
9.001194,38.972208,-0.101
13.500538,38.971605,-0.008
-2.248643,35.074299,0.008
2.250509,35.074678,-0.016
6.750835,35.074267,0.018
11.25097,35.074838,0.089
0.000941,31.177911,0.016
4.501267,31.1775,0.101
9.00042,31.17788,0.225
-35.998937,31.177654,-0.048
-31.498611,31.177244,-0.354
-26.998477,31.177814,-0.298
-38.248505,27.280887,-0.054
-33.748179,27.280476,-0.208
-29.249027,27.280856,-0.178
-24.748701,27.280445,-0.331
-40.498864,23.382947,0.07
-35.998729,23.383518,-0.161
-31.498404,23.383107,-0.132
-26.998269,23.383678,-0.158
-22.498925,23.383075,-0.063
-38.248298,19.486751,-0.12
-33.748953,19.486148,0.628
-29.248628,19.485738,-0.16
-24.748493,19.486308,0.044
-35.998522,15.589381,-0.009
-31.498196,15.58897,-0.118
-26.999043,15.58935,-0.026
-47.249588,50.663137,-1.49
-42.750436,50.663516,-1.494
-38.25011,50.663105,-1.646
-49.500138,46.766178,-1.377
-44.999812,46.765767,-1.301
-40.499678,46.766338,-1.344
-36.000334,46.765736,-1.296
-51.749707,42.869411,-1.032
-47.250362,42.868809,-1.141
-42.750228,42.86938,-1.123
-38.249902,42.868969,-1.207
-33.749768,42.869539,-0.588
-49.499931,38.972042,-1.151
-44.999605,38.971631,-0.891
-40.500452,38.97201,-0.136
-36.000126,38.971599,-0.14
-47.250155,35.074672,-0.427
-42.75002,35.075243,-0.161
-38.249694,35.074832,-0.05
-65.249511,42.869853,-1.261
-60.750358,42.870233,-1.539
-56.250033,42.869822,-1.687
-67.500061,38.972895,-0.964
-62.999735,38.972484,-1.159
-58.499601,38.973055,-1.081
-54.000257,38.972452,-0.866
-69.74963,35.076128,-0.51
-65.250285,35.075525,-0.285
-60.750151,35.076096,-0.438
-56.249825,35.075685,-0.691
-51.749691,35.076256,-0.541
-67.499854,31.178758,-0.151
-62.999528,31.178347,0.056
-58.500375,31.178727,-0.118
-54.000049,31.178316,-0.271
-65.250078,27.281389,0.157
-60.749943,27.28196,0.378
-56.249617,27.281549,0.272
-83.249434,35.07657,-0.092
-78.750281,35.076949,-0.273
-74.249955,35.076538,-0.42
-85.499984,31.179611,-0.148
-80.999658,31.179201,0.103
-76.499524,31.179771,-0.148
-72.000179,31.179169,-0.145
-87.749552,27.282844,0.435
-83.250208,27.282242,0.511
-78.750074,27.282813,0.283
-74.249748,27.282402,0.291
-69.749613,27.282973,0.28
-85.499776,23.385475,0.583
-80.999451,23.385064,0.687
-76.500298,23.385443,0.852
-71.999972,23.385033,0.737
-83.25,19.488105,0.722
-78.749866,19.488676,0.527
-74.24954,19.488265,0.445
-94.857606,-83.258812,4.694
-90.358453,-83.258432,4.69
-85.858127,-83.258843,3.853
-97.108156,-87.15577,5.129
-92.60783,-87.156181,4.787
-88.107696,-87.15561,4.877
-83.608351,-87.156213,3.987
-99.357724,-91.052537,4.815
-94.85838,-91.05314,4.95
-90.358246,-91.052569,4.937
-85.85792,-91.05298,4.895
-81.357785,-91.052409,4.14
-97.107948,-94.949907,4.925
-92.607622,-94.950318,5.306
-88.10847,-94.949938,4.607
-83.608144,-94.950349,4.493
-94.858172,-98.847276,4.96
-90.358038,-98.846705,5.312
-85.857712,-98.847116,4.278
-110.608376,-71.567055,4.016
-106.10805,-71.567466,3.67
-101.607915,-71.566895,3.647
-112.857753,-75.464804,4.949
-108.3586,-75.464424,5.135
-103.858274,-75.464835,4.866
-99.358139,-75.464264,4.447
-115.108303,-79.361762,5.089
-110.608168,-79.361191,5.595
-106.107842,-79.361602,5.471
-101.608689,-79.361223,5.195
-97.108363,-79.361634,4.714
-112.858527,-83.259132,4.981
-108.358392,-83.258561,5.128
-103.858066,-83.258972,5.456
-99.357932,-83.258401,5.154
-110.607961,-87.155328,4.716
-106.107635,-87.155739,4.658
-101.608482,-87.155359,4.665
-112.857529,-91.052095,4.533
-108.357203,-91.052506,4.691
-103.85805,-91.052127,4.608
-115.108079,-94.949054,4.739
-110.607753,-94.949464,4.63
-106.107619,-94.948894,4.841
-101.607293,-94.949305,4.788
-117.357456,-98.846802,5.364
-112.857321,-98.846232,5.014
-108.357977,-98.846834,5.125
-103.857843,-98.846263,5.076
-99.357517,-98.846674,4.904
-115.107871,-102.74319,5.874
-110.607545,-102.743601,5.323
-106.107219,-102.744012,5.331
-101.608067,-102.743632,5.234
-112.858095,-106.64056,6.031
-108.357769,-106.64097,5.345
-103.857635,-106.6404,5.511
-126.359145,-59.875298,3.057
-121.85882,-59.875709,2.628
-117.358685,-59.875138,2.216
-128.608522,-63.773047,3.291
-124.109369,-63.772668,3.303
-119.609044,-63.773078,2.809
-115.108909,-63.772508,2.685
-130.859072,-67.670005,3.352
-126.358938,-67.669435,3.612
-121.858612,-67.669845,4.195
-117.359459,-67.669466,3.766
-112.859133,-67.669877,3.316
-128.609296,-71.567375,3.694
-124.109162,-71.566804,4.088
-119.608836,-71.567215,4.284
-115.108702,-71.566644,4.151
-126.35873,-75.463571,4.059
-121.858404,-75.463982,4.394
-117.359251,-75.463603,4.727
-128.608107,-79.36132,4.118
-124.107781,-79.361731,4.345
-119.608628,-79.361351,4.595
-130.858657,-83.258278,4.681
-126.358331,-83.258689,4.728
-121.858197,-83.258118,4.565
-117.357871,-83.258529,4.857
-133.108034,-87.156027,4.902
-128.6079,-87.155456,4.911
-124.108555,-87.156059,4.724
-119.608421,-87.155488,4.665
-115.108095,-87.155899,4.661
-130.858449,-91.052415,5.071
-126.358124,-91.052826,4.912
-121.857798,-91.053236,5.067
-117.358645,-91.052857,4.768
-128.608673,-94.949784,5.468
-124.108348,-94.950195,5.315
-119.608213,-94.949624,5.012
-130.85726,-98.84636,5.969
-126.356934,-98.846771,5.938
-121.857782,-98.846392,5.473
-133.10781,-102.743319,6.343
-128.607484,-102.743729,6.279
-124.10735,-102.743159,5.946
-119.607024,-102.743569,5.745
-135.357187,-106.641067,7.05
-130.857053,-106.640496,6.633
-126.357708,-106.641099,6.14
-121.857574,-106.640528,5.751
-117.357248,-106.640939,6.016
-133.107603,-110.537455,7.634
-128.607277,-110.537866,6.952
-124.106951,-110.538277,6.374
-119.607798,-110.537897,6.072
-130.857827,-114.434824,7.515
-126.357501,-114.435235,6.885
-121.857366,-114.434665,6.402
-142.109915,-48.183541,1.436
-137.609589,-48.183952,1.172
-133.109455,-48.183381,1.267
-144.359292,-52.08129,2.141
-139.860139,-52.080911,1.85
-135.359813,-52.081322,1.804
-130.859679,-52.080751,1.768
-146.609842,-55.978249,1.754
-142.109707,-55.977678,2.168
-137.609382,-55.978089,2.664
-133.110229,-55.977709,2.445
-128.609903,-55.97812,2.33
-144.360066,-59.875618,2.309
-139.859932,-59.875047,2.468
-135.359606,-59.875458,3.016
-130.859471,-59.874887,2.98
-142.1095,-63.771814,2.689
-137.609174,-63.772225,2.909
-133.110021,-63.771846,3.216
-144.358877,-67.669563,2.839
-139.858551,-67.669974,3.168
-135.359398,-67.669595,3.079
-146.609427,-71.566522,3.543
-142.109101,-71.566932,3.363
-137.608966,-71.566362,3.609
-133.108641,-71.566773,3.382
-148.858804,-75.46427,3.735
-144.358669,-75.4637,3.645
-139.859325,-75.464302,3.716
-135.35919,-75.463731,3.665
-130.858865,-75.464142,4.046
-146.609219,-79.360658,3.974
-142.108893,-79.361069,4.15
-137.608567,-79.36148,4.046
-133.109414,-79.3611,4.208
-144.359443,-83.258028,4.107
-139.859117,-83.258438,4.336
-135.358983,-83.257868,4.433
-146.607839,-87.155585,4.682
-142.107513,-87.155996,4.69
-137.60836,-87.155616,4.805
-148.858388,-91.052543,5.227
-144.358063,-91.052954,5.092
-139.857928,-91.052383,5.036
-135.357602,-91.052794,5.102
-151.107765,-94.950292,6.059
-146.607631,-94.949721,5.847
-142.108287,-94.950323,5.817
-137.608152,-94.949753,5.808
-133.107826,-94.950164,5.615
-148.858181,-98.84668,6.358
-144.357855,-98.847091,6.174
-139.857529,-98.847501,6.149
-135.358376,-98.847122,6.179
-146.608405,-102.744049,6.878
-142.108079,-102.74446,6.726
-137.607945,-102.743889,6.637
-160.109647,-55.977806,1.69
-155.609321,-55.978217,1.73
-151.110168,-55.977838,1.819
-162.360196,-59.874765,1.943
-157.859871,-59.875176,1.806
-153.359736,-59.874605,2.012
-148.85941,-59.875016,2.079
-164.609573,-63.772514,2.063
-160.109439,-63.771943,2.172
-155.610095,-63.772545,2.355
-151.10996,-63.771974,2.634
-146.609634,-63.772385,2.718
-162.359989,-67.668901,2.331
-157.859663,-67.669312,2.637
-153.359337,-67.669723,3.107
