,Z,N,E,S,W
0.0,10578.060994197938,20722.132176290797,9937.571806327685,7219.761434968737,15064.438515405362
0.016666666666666666,10563.423720957382,20629.404966962702,9897.78383834612,7219.653975976387,15025.685118440872
0.03333333333333333,10548.512565389208,20536.184731581136,9857.033344618521,7218.53654437735,14986.750977842314
0.05,10533.136737735815,20442.222350585536,9815.23103626807,7216.300909515392,14947.32702271102
0.06666666666666667,10517.219499399442,20348.527655234186,9773.079227457873,7213.328650144415,14906.93732264595
0.08333333333333333,10500.771196722017,20256.355218813784,9731.089864938705,7209.790937428093,14865.916979074911
0.1,10484.066106538066,20167.543620558517,9690.36104018134,7205.996128007319,14823.720149723064
0.11666666666666667,10467.284213010487,20084.33394443333,9651.151434264035,7202.130344803465,14780.496234333397
0.13333333333333333,10450.899990539832,20009.42127256663,9613.357976733363,7198.159534005084,14736.508530161003
0.15,10435.539712039043,19944.606671139423,9576.761320840053,7193.935609615837,14692.287703402753
0.16666666666666666,10421.851230414137,19889.9756126242,9540.771326579352,7189.859481950669,14648.440341640284
0.18333333333333332,10410.145383997278,19845.57175968789,9504.531571392303,7185.846337924712,14605.711663789278
0.2,10400.532288914066,19809.99030938579,9466.583805754915,7182.0284065265405,14565.04662416822
0.21666666666666667,10392.95386394757,19781.15157137024,9426.222160646992,7178.062717227759,14526.934031401739
0.23333333333333334,10386.95879030154,19755.639318447105,9382.578882948765,7174.449229011394,14491.74466461691
0.25,10381.774728929206,19730.365862440394,9335.552789914611,7171.267158368696,14459.180794069
0.26666666666666666,10376.76938116173,19702.554285512182,9285.4367796595,7168.6172806576105,14429.693580711251
0.2833333333333333,10371.308878863194,19668.681490645275,9233.817808852222,7166.83788200641,14402.462491370456
0.3,10365.058065053177,19626.02935924935,9181.661311722846,7165.938177353636,14376.504849236251
0.31666666666666665,10357.83025460646,19572.383916523213,9129.909808511971,7166.009468332671,14351.289840259913
0.3333333333333333,10349.734801267063,19506.33482306538,9079.39262665702,7166.88031084562,14326.076768502153
0.35,10341.082414667784,19426.92300465826,9030.838403535165,7168.496374098642,14300.365635375183
0.36666666666666664,10332.118306947104,19334.393943849765,8984.567801675206,7170.96993850953,14274.620696748974
0.3833333333333333,10322.602134572178,19229.982975171846,8940.458932130452,7174.517553122163,14249.055526879361
0.4,10312.436894428718,19116.081516011942,8898.464841694878,7178.306061659705,14223.230217222163
0.4166666666666667,10301.48186415143,18995.299746912802,8858.378555737854,7182.576139604212,14197.902180535613
0.43333333333333335,10289.500342852652,18870.441635386855,8820.27899705894,7186.711620071097,14172.953275641166
0.45,10276.299239050659,18744.9536812125,8783.996669567201,7190.763055891023,14148.340189642015
0.4666666666666667,10261.774203533278,18621.620293062402,8749.403921101248,7194.560683334948,14123.915050534444
0.48333333333333334,10246.0724253953,18502.73100986059,8716.162940554264,7197.851816795646,14099.850137722615
0.5,10229.383323962353,18390.2560482374,8684.341405886204,7200.706133038146,14076.277227933533
0.5166666666666666,10212.110984982759,18285.49151683911,8653.583094834175,7203.083157230545,14053.451799144099
0.5333333333333333,10194.768076376964,18188.974189885466,8623.501082109718,7204.833587544217,14031.689362856012
0.55,10177.961876067002,18099.612977023164,8593.734851145506,7206.619165236033,14011.981191740353
0.5666666666666667,10162.240354023856,18016.045576907603,8563.98326582697,7208.383001077172,13994.53295176646
0.5833333333333334,10147.511772754326,17937.195637377034,8533.921122475018,7209.980468448761,13979.335188339064
0.6,10133.89708508203,17861.59566473802,8503.54912987316,7211.895479683807,13966.652464499373
